Aggregation Strategy,NCCL Algo,NCLL Proto,Multiple CUDA Streams,Contiguous Memory,Average Time (s),Theoretical Throughput (Gb/s),Real Throughput (Gb/s),Max GPU RAM Allocated (GB)
layer_by_layer,ring,SIMPLE,False,False,0.2305045722052455,555.7069830169066,557.4040407909797,16.060523008
layer_by_layer,ring,SIMPLE,False,True,0.2310073594097048,554.7967619266125,556.1908516521586,16.060523008
layer_by_layer,ring,SIMPLE,True,False,0.21021905378438532,610.8671852691498,611.19188605892,16.060523008
layer_by_layer,ring,SIMPLE,True,True,0.21046760538592935,611.7171731122633,610.4700993409493,16.060523008
layer_by_layer,ring,LL,False,False,0.23082894459366798,556.1134672994884,556.6207487287733,16.060523008
layer_by_layer,ring,LL,False,True,0.23084501139819621,554.6501546256306,556.5820079445908,16.060523008
layer_by_layer,ring,LL,True,False,0.21019807322882117,611.0959630669649,611.2528911153832,16.060523008
layer_by_layer,ring,LL,True,True,0.21016019596718252,611.5958232504345,611.3630574843172,16.060523008
layer_by_layer,ring,LL128,False,False,0.23068613740615546,556.4487008162442,556.96532705728,16.060523008
layer_by_layer,ring,LL128,False,True,0.23082838342525064,556.0413011312851,556.6221019331755,16.060523008
layer_by_layer,ring,LL128,True,False,0.21023900536820292,611.0453269171488,611.1338842332265,16.060523008
layer_by_layer,ring,LL128,True,True,0.21023669200949371,610.7110925219333,611.1406089009334,16.060523008
layer_by_layer,tree,SIMPLE,False,False,0.23124893219210207,555.8137346678119,555.609830281362,16.060523008
layer_by_layer,tree,SIMPLE,False,True,0.23103061481378973,555.8708569266945,556.1348658122995,16.060523008
layer_by_layer,tree,SIMPLE,True,False,0.21029476099647582,611.1333625527972,610.9718537883747,16.060523008
layer_by_layer,tree,SIMPLE,True,True,0.2102400768082589,610.3693933840023,611.130769730354,16.060523008
layer_by_layer,tree,LL,False,False,0.23073012540116905,556.2640237895023,556.8591433156175,16.060523008
layer_by_layer,tree,LL,False,True,0.23097810139879585,555.8599340242916,556.261304382987,16.060523008
layer_by_layer,tree,LL,True,False,0.21015486419200896,610.6216798533703,611.3785681905979,16.060523008
layer_by_layer,tree,LL,True,True,0.21022709337994455,610.8628502280392,611.168512594092,16.060523008
layer_by_layer,tree,LL128,False,False,0.23124039079993963,555.5855165842378,555.6303529998772,16.060523008
layer_by_layer,tree,LL128,False,True,0.23096153200604022,556.5503765713843,556.3012110806393,16.060523008
layer_by_layer,tree,LL128,True,False,0.21036609201692044,610.8787944589978,610.7646852025259,16.060523008
layer_by_layer,tree,LL128,True,True,0.21029934361577035,610.6607297507774,610.958540140517,16.060523008
layer_by_layer,collnet,SIMPLE,False,False,0.23143248199485242,555.829545576595,555.1691744413724,16.060523008
layer_by_layer,collnet,SIMPLE,False,True,0.23109832759946586,555.5798064603824,555.9719159486335,16.060523008
layer_by_layer,collnet,SIMPLE,True,False,0.21027571181766688,610.868772076738,611.0272026063119,16.060523008
layer_by_layer,collnet,SIMPLE,True,True,0.2101935707964003,611.3420374180969,611.265984402794,16.060523008
layer_by_layer,collnet,LL,False,False,0.2311151663772762,555.0465638080864,555.9314084920775,16.060523008
layer_by_layer,collnet,LL,False,True,0.2306612515822053,556.2511545891521,557.0254175188569,16.060523008
layer_by_layer,collnet,LL,True,False,0.21029367079026998,610.459000276496,610.9750211937658,16.060523008
layer_by_layer,collnet,LL,True,True,0.2102037280332297,611.0387866204578,611.2364474700886,16.060523008
